id,fecha_generacion,juego,numeros,sorteo_objetivo,estado,aciertos,score_afinidad,hora_dia,algoritmo,nota_especial,fecha_lanzamiento
1768363344,2026-01-14 01:02:24,LOTO,"[3, 12, 19, 20, 27, 41]",5374,PENDIENTE,0,0.0,1,forense_biometrico_v1,,
1768358761,2026-01-13 23:27:02,LOTO4,"[5, 8, 16, 22]",11562,AUDITADO,0,0.0,23,consenso_meritocratico_v2,,
1768358801,2026-01-13 23:27:02,RACHA,"[1, 2, 3, 4, 9, 10, 12, 13, 18, 20]",10295,AUDITADO,4,15.0,23,consenso_meritocratico_v2,,
1768370502,2026-01-14 02:50:02,LOTO3,"[2, 8, 9]",23989,AUDITADO,0,0.0,2,forense_biometrico_v1,,
1768363546,2026-01-14 01:02:24,LOTO,"[7, 13, 14, 20, 23, 38]",5374,PENDIENTE,0,0.0,1,delta_dna_v1,,
1768367227,2026-01-14 01:55:27,LOTO3,"[4, 7, 8]",23989,AUDITADO,1,10.0,1,forense_biometrico_v1,,
1768358116,2026-01-13 23:27:02,LOTO,"[1, 7, 17, 33, 37, 40]",5374,PENDIENTE,0,70.0,23,oraculo_neural_v4,NORMAL,
1768371202,2026-01-14 02:50:02,RACHA,"[1, 3, 4, 6, 7, 12, 14, 17, 18, 19]",10295,AUDITADO,4,15.0,2,forense_biometrico_v1,,
1768364344,2026-01-14 01:02:24,LOTO4,"[4, 17, 19, 20]",11562,AUDITADO,1,0.0,1,forense_biometrico_v1,,
1768358721,2026-01-13 23:27:02,LOTO3,"[0, 4, 5]",23989,AUDITADO,2,66.67,23,consenso_meritocratico_v2,,
1768369267,2026-01-14 02:25:39,LOTO,"[3, 18, 19, 22, 26, 41]",5374,PENDIENTE,0,50.0,2,oraculo_neural_v3,NORMAL,
1768370931,2026-01-14 02:50:02,LOTO4,"[5, 9, 20, 22]",11562,AUDITADO,0,0.0,2,consenso_meritocratico_v2,,
1768367455,2026-01-14 01:55:27,LOTO,"[11, 16, 22, 23, 36, 41]",5374,PENDIENTE,0,50.0,1,oraculo_neural_v3,NORMAL,
1768363445,2026-01-14 01:02:24,LOTO,"[7, 10, 23, 30, 40, 41]",5374,PENDIENTE,0,0.0,1,gaussiano_inteligente_v1,,
1768369468,2026-01-14 02:25:39,LOTO4,"[8, 9, 16, 20]",11562,AUDITADO,0,0.0,2,consenso_meritocratico_v2,,
1768367527,2026-01-14 01:55:27,LOTO4,"[1, 5, 18, 19]",11562,AUDITADO,1,0.0,1,forense_biometrico_v1,,
1768366527,2026-01-14 01:55:27,LOTO,"[2, 11, 12, 23, 30, 33]",5374,PENDIENTE,0,0.0,1,forense_biometrico_v1,,
1768364433,2026-01-14 01:02:24,LOTO3,"[0, 7, 9]",23989,AUDITADO,0,0.0,1,consenso_meritocratico_v2,,
1768367927,2026-01-14 01:55:27,RACHA,"[2, 3, 7, 8, 10, 11, 15, 16, 18, 19]",10295,AUDITADO,6,15.0,1,forense_biometrico_v1,,
1768369739,2026-01-14 02:25:39,RACHA,"[3, 4, 7, 8, 10, 11, 15, 16, 18, 19]",10295,AUDITADO,7,40.0,2,forense_biometrico_v1,,
1768364044,2026-01-14 01:02:24,LOTO3,"[1, 2, 8]",23989,AUDITADO,0,0.0,1,forense_biometrico_v1,,
1768364403,2026-01-14 01:02:24,LOTO,"[7, 11, 33, 36, 40, 41]",5374,PENDIENTE,0,29.68,1,consenso_meritocratico_v2,,
1768364272,2026-01-14 01:02:24,LOTO,"[5, 14, 31, 32, 36, 41]",5374,PENDIENTE,0,50.0,1,oraculo_neural_v3,NORMAL,
1768357925,2026-01-13 23:27:02,LOTO,"[7, 18, 21, 29, 31, 37]",5374,PENDIENTE,0,0.0,23,markov_chain_v1,,
1768357824,2026-01-13 23:27:02,LOTO,"[2, 3, 10, 15, 23, 36]",5374,PENDIENTE,0,0.0,23,delta_dna_v1,,
1768370004,2026-01-14 02:50:02,LOTO,"[2, 9, 17, 18, 22, 29]",5374,PENDIENTE,0,0.0,2,delta_dna_v1,,
1768364473,2026-01-14 01:02:24,LOTO4,"[8, 16, 19, 20]",11562,AUDITADO,1,0.0,1,consenso_meritocratico_v2,,
1768369428,2026-01-14 02:25:39,LOTO3,"[1, 4, 5]",23989,AUDITADO,2,66.67,2,consenso_meritocratico_v2,,
1768368541,2026-01-14 02:25:39,LOTO,"[3, 5, 6, 12, 19, 24]",5374,PENDIENTE,0,0.0,2,delta_dna_v1,,
1768367656,2026-01-14 01:55:27,LOTO4,"[8, 11, 17, 22]",11562,AUDITADO,1,0.0,1,consenso_meritocratico_v2,,
1768391327,2026-01-14 08:29:58,LOTO4,"[7, 8, 16, 20]",11562,AUDITADO,0,0.0,8,consenso_meritocratico_v2,,
1768379846,2026-01-14 05:32:23,LOTO,"[11, 12, 20, 28, 34, 41]",5374,PENDIENTE,0,0.0,5,markov_chain_v1,,
1768374460,2026-01-14 04:02:37,LOTO,"[11, 12, 20, 28, 34, 41]",5374,PENDIENTE,0,0.0,4,markov_chain_v1,,
1768377718,2026-01-14 04:53:44,LOTO,"[1, 7, 17, 33, 37, 40]",5374,PENDIENTE,0,70.0,4,oraculo_neural_v4,NORMAL,
1768388807,2026-01-14 07:58:33,LOTO,"[1, 7, 17, 33, 37, 40]",5374,PENDIENTE,0,70.0,7,oraculo_neural_v4,NORMAL,
1768387061,2026-01-14 07:36:00,LOTO,"[4, 13, 20, 23, 24, 41]",5374,PENDIENTE,0,0.0,7,gaussiano_inteligente_v1,,
1768384725,2026-01-14 06:58:45,LOTO,"[2, 15, 17, 24, 29, 30]",5374,PENDIENTE,0,0.0,6,forense_biometrico_v1,,
1768383917,2026-01-14 06:43:36,LOTO,"[4, 7, 11, 36, 40, 41]",5374,PENDIENTE,0,0.0,6,gaussiano_inteligente_v1,,
1768386960,2026-01-14 07:36:00,LOTO,"[5, 11, 12, 23, 32, 34]",5374,PENDIENTE,0,0.0,7,forense_biometrico_v1,,
