sorteo,fecha,dia,mes,anio,dia_semana,LOTO_n1,LOTO_n2,LOTO_n3,LOTO_n4,LOTO_n5,LOTO_n6,LOTO_comodin,LOTO_GANADORES,LOTO_MONTO,LOTO_POZO_ACUMULADO,SUPER_QUINA_5_ACIERTOS_COMODIN_GANADORES,SUPER_QUINA_5_ACIERTOS_COMODIN_MONTO,QUINA_5_ACIERTOS_GANADORES,QUINA_5_ACIERTOS_MONTO,SUPER_CUATERNA_4_ACIERTOS_COMODIN_GANADORES,SUPER_CUATERNA_4_ACIERTOS_COMODIN_MONTO,CUATERNA_4_ACIERTOS_GANADORES,CUATERNA_4_ACIERTOS_MONTO,SUPER_TERNA_3_ACIERTOS_COMODIN_GANADORES,SUPER_TERNA_3_ACIERTOS_COMODIN_MONTO,TERNA_3_ACIERTOS_GANADORES,TERNA_3_ACIERTOS_MONTO,SUPER_DUPLA_2_ACIERTOS_COMODIN_GANADORES,SUPER_DUPLA_2_ACIERTOS_COMODIN_MONTO,AHORA_SI_QUE_SI_n1,AHORA_SI_QUE_SI_n2,AHORA_SI_QUE_SI_n3,AHORA_SI_QUE_SI_n4,AHORA_SI_QUE_SI_n5,AHORA_SI_QUE_SI_n6,AHORA_SI_QUE_SI_GANADORES,AHORA_SI_QUE_SI_MONTO,AHORA_SI_QUE_SI_ACUMULADO,RECARGADO_n1,RECARGADO_n2,RECARGADO_n3,RECARGADO_n4,RECARGADO_n5,RECARGADO_n6,RECARGADO_6_ACIERTOS_GANADORES,RECARGADO_6_ACIERTOS_MONTO,RECARGADO_POZO_ACUMULADO,REVANCHA_n1,REVANCHA_n2,REVANCHA_n3,REVANCHA_n4,REVANCHA_n5,REVANCHA_n6,REVANCHA_GANADORES,REVANCHA_MONTO,REVANCHA_POZO_ACUMULADO,DESQUITE_n1,DESQUITE_n2,DESQUITE_n3,DESQUITE_n4,DESQUITE_n5,DESQUITE_n6,DESQUITE_GANADORES,DESQUITE_MONTO,DESQUITE_POZO_ACUMULADO,JUBILAZO_1_n1,JUBILAZO_1_n2,JUBILAZO_1_n3,JUBILAZO_1_n4,JUBILAZO_1_n5,JUBILAZO_1_n6,JUBILAZO_2_n1,JUBILAZO_2_n2,JUBILAZO_2_n3,JUBILAZO_2_n4,JUBILAZO_2_n5,JUBILAZO_2_n6,JUBILAZO_3_n1,JUBILAZO_3_n2,JUBILAZO_3_n3,JUBILAZO_3_n4,JUBILAZO_3_n5,JUBILAZO_3_n6,JUBILAZO_4_n1,JUBILAZO_4_n2,JUBILAZO_4_n3,JUBILAZO_4_n4,JUBILAZO_4_n5,JUBILAZO_4_n6,JUBILAZO_50_ANOS_1_n1,JUBILAZO_50_ANOS_1_n2,JUBILAZO_50_ANOS_1_n3,JUBILAZO_50_ANOS_1_n4,JUBILAZO_50_ANOS_1_n5,JUBILAZO_50_ANOS_1_n6,JUBILAZO_50_ANOS_2_n1,JUBILAZO_50_ANOS_2_n2,JUBILAZO_50_ANOS_2_n3,JUBILAZO_50_ANOS_2_n4,JUBILAZO_50_ANOS_2_n5,JUBILAZO_50_ANOS_2_n6,JUBILAZO_50_ANOS_3_n1,JUBILAZO_50_ANOS_3_n2,JUBILAZO_50_ANOS_3_n3,JUBILAZO_50_ANOS_3_n4,JUBILAZO_50_ANOS_3_n5,JUBILAZO_50_ANOS_3_n6,JUBILAZO_50_ANOS_n1,JUBILAZO_50_ANOS_n2,JUBILAZO_50_ANOS_n3,JUBILAZO_50_ANOS_n4,JUBILAZO_50_ANOS_n5,JUBILAZO_50_ANOS_n6,JUBILAZO_5_n1,JUBILAZO_5_n2,JUBILAZO_5_n3,JUBILAZO_5_n4,JUBILAZO_5_n5,JUBILAZO_5_n6,JUBILAZO_6_n1,JUBILAZO_6_n2,JUBILAZO_6_n3,JUBILAZO_6_n4,JUBILAZO_6_n5,JUBILAZO_6_n6,JUBILAZO_7_n1,JUBILAZO_7_n2,JUBILAZO_7_n3,JUBILAZO_7_n4,JUBILAZO_7_n5,JUBILAZO_7_n6,MULTIPLICAR_FACTOR,TERMINACION_n1
3803,2016-01-03 21:00:00,3,1,2016,Sunday,7,14,16,19,24,35,5,0,0,0,0,0,18,174760,58,54230,763,4120,1278,2460,10517,1050,9919,1000,11,20,25,29,37,38,,,,,,,,,,0,0,0,1,8,9,27,30,38,0,0,0,2,17,18,28,31,41,0,0,0,1,10,29,31,34,41,6,10,23,28,29,31,5,16,22,23,31,35,8,9,11,14,21,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3804,2016-01-05 21:00:00,5,1,2016,Tuesday,3,8,11,20,23,24,25,1,1108193560,0,4,2540310,18,163950,54,54650,1062,2780,1140,2590,12668,1050,8013,1000,3,5,7,21,29,32,,,,,,,,,,0,0,0,1,5,18,21,32,34,0,0,0,5,11,14,15,19,39,0,0,0,3,7,28,30,32,40,16,22,24,31,36,37,2,8,13,15,37,41,5,10,16,27,29,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
3805,2016-01-07 21:00:00,7,1,2016,Thursday,1,5,10,12,14,18,4,0,0,0,0,0,28,90720,72,35280,935,2720,1196,2120,10628,1050,9256,1000,7,13,19,20,25,41,,,,,,,,,,0,0,0,11,19,21,31,32,35,0,0,0,8,10,26,30,31,33,0,0,0,7,11,13,21,22,37,4,9,18,30,31,41,9,19,24,29,37,41,1,4,7,14,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
3806,2016-01-10 21:00:00,10,1,2016,Sunday,16,18,22,23,34,36,38,1,211614260,0,1,9810250,8,418250,17,196830,484,7220,467,7170,8677,1210,4268,1000,9,15,18,22,32,40,,,,,,,,,,0,0,0,5,6,25,30,31,34,0,0,0,5,15,22,25,38,41,0,0,0,2,4,8,17,27,30,4,14,17,25,28,31,2,5,11,13,36,40,21,24,27,32,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
3807,2016-01-12 21:00:00,12,1,2016,Tuesday,1,19,22,35,36,37,5,0,0,0,0,0,8,302700,25,96860,308,7860,616,3930,4906,1550,6205,1000,1,4,29,30,34,37,,,,,,,,,,0,0,0,2,6,7,13,33,38,0,0,0,5,6,10,20,30,31,0,0,0,2,17,23,24,33,36,6,10,23,32,34,41,3,7,20,33,35,40,9,17,30,31,36,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
3808,2016-01-14 21:00:00,14,1,2016,Thursday,2,8,18,24,32,38,28,0,0,0,5,1610070,21,114700,67,35950,583,4130,946,2550,7226,1050,5915,1000,4,6,11,22,32,41,,,,,,,,,,0,0,0,1,6,15,23,28,36,0,0,0,2,3,11,12,14,27,0,0,0,7,8,16,18,20,38,9,15,16,27,35,38,14,17,26,32,36,37,3,20,25,28,29,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3809,2016-01-17 21:00:00,17,1,2016,Sunday,9,14,15,22,35,38,29,0,0,0,0,0,4,819680,27,121440,510,6430,756,4340,8193,1260,7023,1000,1,17,21,22,25,27,,,,,,,,,,0,0,0,26,29,31,32,35,38,0,0,0,11,19,22,24,31,34,0,0,0,11,14,24,27,31,32,6,13,14,17,23,27,12,15,19,22,33,40,7,11,14,20,26,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
3810,2016-01-19 21:00:00,19,1,2016,Tuesday,15,19,20,30,31,41,14,0,0,0,0,0,9,275850,15,165510,319,7780,490,5070,6113,1280,4615,1000,20,25,31,33,38,41,,,,,,,,,,0,0,0,8,14,34,38,39,40,0,0,0,4,6,12,15,27,37,0,0,0,11,25,27,30,31,40,13,16,19,29,31,34,6,11,18,22,38,41,3,9,13,27,31,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3811,2016-01-21 21:00:00,21,1,2016,Thursday,2,24,34,35,37,39,20,0,0,0,1,13890180,2,1286370,11,233890,281,9160,392,6560,4602,1760,3758,1000,10,11,12,13,21,31,,,,,,,,,,0,0,0,13,15,16,20,22,40,0,0,0,5,14,27,33,36,37,0,0,0,10,23,25,26,33,40,17,22,29,32,35,38,3,13,25,27,33,38,3,16,21,24,25,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
3812,2016-01-24 21:00:00,24,1,2016,Sunday,9,15,25,28,33,39,3,1,604346120,0,2,2868300,16,215120,99,34770,715,4810,1771,1940,9896,1090,12605,1000,1,2,8,18,37,38,,,,,,,,,,0,0,0,4,7,15,26,27,37,0,0,0,6,12,16,17,19,29,0,0,0,1,5,15,23,26,31,3,9,13,17,18,28,1,2,14,19,21,31,2,5,13,23,36,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
3813,2016-01-26 21:00:00,26,1,2016,Tuesday,3,6,12,16,29,34,32,0,0,0,0,0,18,130460,28,83870,649,3770,631,3720,8550,1050,4421,1000,13,14,17,21,36,41,,,,,,,,,,0,0,0,3,9,14,21,25,32,0,0,0,1,3,5,6,9,27,0,0,0,9,14,15,19,21,32,3,16,18,21,24,26,21,23,26,29,40,41,4,6,17,20,26,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3814,2016-01-28 21:00:00,28,1,2016,Thursday,2,7,12,22,30,35,23,0,0,0,2,3944780,22,113590,32,74540,689,3460,873,2730,8949,1050,6273,1000,13,14,16,18,29,31,,,,,,,,,,1,343842910,0,7,10,11,18,24,40,0,0,0,9,12,19,26,29,37,0,0,0,9,11,12,24,35,41,11,16,20,25,34,37,6,13,15,19,36,41,6,12,15,17,36,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3815,2016-01-31 21:00:00,31,1,2016,Sunday,1,13,25,33,35,37,20,0,0,0,0,0,10,328720,27,121750,603,5450,695,4730,9084,1140,6243,1000,7,13,21,32,33,40,,,,,,,,,,0,0,0,6,21,23,26,30,37,0,0,0,9,14,20,25,38,40,0,0,0,1,2,4,26,31,32,1,2,14,17,28,29,2,7,28,33,34,38,1,9,20,25,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3816,2016-02-02 21:00:00,2,2,2016,Tuesday,4,17,22,24,34,39,2,0,0,0,1,9482190,11,218380,32,75070,394,6100,696,3450,6410,1180,6038,1000,9,15,23,27,30,40,,,,,,,,,,0,0,0,1,24,25,34,39,40,0,0,0,1,5,19,33,39,40,0,0,0,4,14,18,35,38,39,5,12,16,21,37,41,2,9,17,28,40,41,1,17,18,27,28,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
3817,2016-02-04 21:00:00,4,2,2016,Thursday,6,9,15,18,19,39,4,0,0,0,0,0,16,152290,36,67680,663,3680,1018,2390,8477,1050,8352,1000,15,17,20,25,29,41,,,,,,,,,,0,0,0,9,19,23,28,29,32,0,0,0,3,20,26,27,33,34,0,0,0,9,17,20,26,39,40,5,9,30,37,38,39,4,22,24,28,38,39,4,10,11,16,23,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
3818,2016-02-07 21:00:00,7,2,2016,Sunday,7,11,16,18,28,35,19,0,0,0,0,0,26,128060,45,73990,1000,3330,1037,3210,13575,1050,8650,1000,7,15,16,19,27,41,,,,,,,,,,0,0,0,1,17,18,29,32,41,0,0,0,5,12,16,28,30,36,0,0,0,4,5,9,18,19,27,8,12,17,27,32,38,1,10,13,19,21,28,5,11,17,20,32,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3819,2016-02-09 21:00:00,9,2,2016,Tuesday,9,13,24,25,38,40,1,0,0,0,0,0,5,501460,19,131960,397,6320,651,3850,6032,1310,6156,1000,2,9,10,12,23,24,,,,,,,,,,1,141321610,0,2,11,23,27,28,38,0,0,0,17,24,30,31,35,37,0,0,0,1,3,17,25,38,41,4,12,17,21,23,28,1,12,14,22,26,37,7,9,10,19,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
3820,2016-02-11 21:00:00,11,2,2016,Thursday,5,15,27,29,32,40,25,1,762715900,0,2,9002960,15,168670,27,93710,496,5100,741,3410,7210,1100,6320,1000,1,6,7,13,28,30,,,,,,,,,,0,0,0,5,8,9,12,22,31,0,0,0,4,18,19,32,33,40,0,0,0,12,16,32,36,38,41,7,25,26,29,40,41,6,16,18,21,26,28,3,6,20,29,35,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3821,2016-02-14 21:00:00,14,2,2016,Sunday,1,5,21,22,27,28,26,0,0,0,0,0,18,172280,35,88600,862,3680,855,3630,12889,1050,7176,1000,6,9,11,17,28,40,,,,,,,,,,0,0,0,9,16,19,25,34,36,0,0,0,1,11,12,14,18,33,0,0,0,8,26,28,31,33,37,4,9,11,18,26,37,2,7,29,34,35,39,1,5,6,9,12,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
3822,2016-02-16 21:00:00,16,2,2016,Tuesday,1,6,14,19,22,40,2,1,192350490,0,0,0,11,209560,31,74360,431,5350,678,3400,6315,1150,6416,1000,1,3,5,29,31,33,,,,,,,,,,0,0,0,4,5,25,26,31,41,0,0,0,6,8,22,31,36,38,0,0,0,3,20,23,25,30,37,2,3,19,37,40,41,4,6,13,22,23,38,1,8,17,22,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
3823,2016-02-18 21:00:00,18,2,2016,Thursday,4,9,20,23,28,35,17,0,0,0,0,0,12,185660,56,39780,583,3820,990,2250,7713,1050,6748,1000,1,8,28,30,36,37,,,,,,,,,,0,0,0,9,12,17,21,22,33,0,0,0,7,8,23,29,30,35,0,0,0,1,6,7,13,19,29,5,6,16,32,36,39,1,6,35,37,39,41,5,10,19,20,21,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3824,2016-02-21 21:00:00,21,2,2016,Sunday,17,22,23,29,36,37,35,0,0,0,0,0,8,509780,6,509730,406,7530,517,5920,7363,1310,4781,1000,4,10,13,32,36,37,,,,,,,,,,0,0,0,13,17,18,21,25,37,0,0,0,3,11,14,18,20,25,0,0,0,16,17,30,31,34,36,1,20,23,24,36,40,3,4,5,6,13,37,6,22,23,25,33,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
3825,2016-02-23 21:00:00,23,2,2016,Tuesday,1,4,27,36,38,39,18,0,0,0,0,0,3,1139100,16,142390,259,8800,624,3650,5132,1400,5486,1000,2,7,10,11,16,36,,,,,,,,,,0,0,0,4,5,18,25,26,39,0,0,0,4,9,12,25,31,32,0,0,0,3,5,8,14,20,37,9,16,19,35,39,40,7,12,15,27,28,33,2,5,17,19,32,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3826,2016-02-25 21:00:00,25,2,2016,Thursday,8,13,16,30,32,40,1,0,0,0,0,0,11,209300,20,115110,354,6500,578,3980,5838,1240,5119,1000,7,8,10,13,36,38,,,,,,,,,,0,0,0,1,3,6,19,30,34,0,0,0,6,8,16,26,35,38,0,0,0,6,8,13,24,36,37,3,7,9,16,20,25,4,14,21,30,32,35,11,17,22,24,35,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
3827,2016-02-28 21:00:00,28,2,2016,Sunday,4,13,23,25,29,39,32,0,0,0,0,0,11,279020,22,139510,691,4770,651,4720,9963,1050,5636,1000,2,5,12,32,33,41,,,,,,,,,,0,0,0,2,9,13,16,37,38,0,0,0,5,6,8,10,29,41,0,0,0,1,11,18,32,39,40,7,10,11,17,19,40,7,8,23,30,32,41,1,2,28,29,36,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
3828,2016-03-01 21:00:00,1,3,2016,Tuesday,1,5,14,16,28,35,21,0,0,0,2,17428270,20,128590,194,13260,698,3690,1396,1840,8540,1050,7870,1000,4,10,12,15,19,24,,,,,,,,,,0,0,0,1,8,24,25,26,33,0,0,0,6,15,17,28,40,41,0,0,0,7,12,16,35,36,39,6,7,11,25,27,38,2,16,18,21,27,28,3,10,17,25,31,33,,,,,,,,,,,,,,,,,,,,,,,,,1,9,10,15,29,36,,,,,,,,,,,,,4,
3829,2016-03-03 21:00:00,3,3,2016,Thursday,2,6,18,20,33,40,12,0,0,0,0,0,13,222680,46,62930,550,5260,935,3100,8545,1060,7628,1000,3,11,14,22,26,33,,,,,,,,,,0,0,0,9,12,23,26,27,35,0,0,0,11,17,33,36,39,40,0,0,0,6,13,24,25,37,40,5,6,8,9,21,25,3,7,11,23,28,39,4,8,11,19,24,39,,,,,,,,,,,,,,,,,,,,,,,,,5,6,18,25,31,39,,,,,,,,,,,,,2,
3830,2016-03-06 21:00:00,6,3,2016,Sunday,6,14,16,17,22,34,18,0,0,0,0,0,15,270010,44,92050,825,4910,1090,3720,12168,1050,9460,1000,5,6,12,13,22,29,,,,,,,,,,0,0,0,14,16,25,28,33,41,0,0,0,8,15,18,32,36,39,0,0,0,4,8,9,22,34,35,3,5,9,14,33,37,3,11,20,21,32,40,3,8,14,24,33,41,,,,,,,,,,,,,,,,,,,,,,,,,6,16,17,19,31,41,,,,,,,,,,,,,2,
3831,2016-03-08 21:00:00,8,3,2016,Tuesday,20,31,35,38,40,41,5,0,0,0,0,0,14,251150,15,234410,344,10220,579,6070,5704,1940,5994,1000,8,11,20,28,33,41,,,,,,,,,,0,0,0,1,17,29,33,38,41,0,0,0,1,17,20,25,30,40,0,0,0,12,17,22,23,33,37,6,9,14,29,33,40,13,14,15,16,23,37,3,4,12,24,32,38,,,,,,,,,,,,,,,,,,,,,,,,,4,17,27,29,30,40,,,,,,,,,,,,,3,
3832,2016-03-10 21:00:00,10,3,2016,Thursday,1,5,18,33,34,35,29,0,0,0,0,0,13,277400,28,128790,655,5510,835,4320,10359,1090,7477,1000,5,12,14,28,31,37,,,,,,,,,,1,384965160,0,5,10,13,18,25,29,0,0,0,2,15,23,27,32,40,0,0,0,7,25,30,32,36,41,1,10,13,30,37,39,2,3,6,27,30,32,10,14,16,18,32,37,,,,,,,,,,,,,,,,,,,,,,,,,9,11,16,33,38,40,,,,,,,,,,,,,3,
3833,2016-03-13 21:00:00,13,3,2016,Sunday,5,12,17,24,32,41,11,0,0,0,1,31245970,31,150980,68,68830,929,5040,1294,3620,13364,1100,11676,1000,1,3,15,37,38,41,,,,,,,,,,0,0,0,3,4,5,9,35,37,0,0,0,15,20,24,27,28,30,0,0,0,1,9,14,22,28,34,1,4,15,17,27,38,3,5,15,30,33,34,6,9,25,28,29,37,,,,,,,,,,,,,,,,,,,,,,,,,1,20,26,30,36,37,,,,,,,,,,,,,4,
3834,2016-03-15 21:00:00,15,3,2016,Tuesday,2,6,7,28,33,40,14,0,0,0,1,6143060,12,307150,72,51190,799,4610,1545,2390,12260,1050,10614,1000,4,10,14,17,31,38,,,,,,,,,,0,0,0,5,7,16,24,30,40,0,0,0,6,12,23,25,32,34,0,0,0,11,14,24,28,35,36,12,15,22,26,30,41,4,13,28,33,35,39,2,16,17,25,26,28,,,,,,,,,,,,,,,,,,,,,,,,,9,12,20,23,27,28,,,,,,,,,,,,,2,
3835,2016-03-17 21:00:00,17,3,2016,Thursday,5,17,28,30,33,41,3,0,0,0,0,0,13,295990,61,63080,802,4800,1526,2520,11131,1090,12529,1000,8,11,12,18,21,28,,,,,,,,,,0,0,0,2,13,14,16,23,41,0,0,0,6,12,16,18,30,41,0,0,0,4,10,13,25,38,39,6,13,19,24,27,31,12,17,19,20,33,36,2,9,11,29,35,41,,,,,,,,,,,,,,,,,,,,,,,,,14,15,24,28,30,40,,,,,,,,,,,,,7,
3836,2016-03-20 21:00:00,20,3,2016,Sunday,2,15,18,25,29,36,17,0,0,0,0,0,36,146210,71,74130,1506,3500,1580,3330,18862,1050,12787,1000,1,2,15,31,39,40,,,,,,,,,,0,0,0,17,19,26,28,37,41,0,0,0,8,23,24,32,38,40,0,0,0,1,6,8,10,15,16,3,4,16,30,31,35,7,17,19,28,30,38,3,6,22,25,28,33,,,,,,,,,,,,,,,,,,,,,,,,,8,16,18,26,35,37,,,,,,,,,,,,,2,
3837,2016-03-22 21:00:00,22,3,2016,Tuesday,4,5,6,8,17,35,1,1,1868103670,0,0,0,24,197310,105,45100,1315,3600,2481,1910,18355,1050,14969,1000,3,21,24,31,35,38,,,,,,,,,,0,0,0,22,25,31,32,35,36,0,0,0,6,7,14,19,31,35,0,0,0,2,7,15,24,32,37,6,15,16,22,25,40,4,12,13,35,38,41,3,4,17,24,29,37,,,,,,,,,,,,,,,,,,,,,,,,,9,10,21,34,37,41,,,,,,,,,,,,,2,
3838,2016-03-24 21:00:00,24,3,2016,Thursday,2,4,14,17,30,40,33,0,0,0,0,0,16,186190,42,70930,660,4510,801,3720,9615,1050,6564,1000,2,8,20,35,37,40,,,,,,,,,,0,0,0,1,5,22,31,33,40,0,0,0,2,15,17,22,33,39,0,0,0,1,2,13,16,26,39,22,26,27,28,33,39,12,23,27,28,34,41,3,4,6,25,32,36,,,,,,,,,,,,,,,,,,,,,,,,,2,7,12,23,25,34,,,,,,,,,,,,,4,
3839,2016-03-27 21:00:00,27,3,2016,Sunday,5,9,18,29,39,40,16,0,0,0,0,0,6,511870,26,118120,551,5570,714,4300,8745,1100,6308,1000,3,15,23,32,35,39,,,,,,,,,,0,0,0,4,14,15,19,27,38,0,0,0,5,9,11,16,18,34,0,0,0,3,17,26,29,31,41,5,8,12,17,23,41,9,11,26,27,34,36,3,6,10,12,20,23,,,,,,,,,,,,,,,,,,,,,,,,,1,11,22,23,34,40,,,,,,,,,,,,,4,
3840,2016-03-29 21:00:00,29,3,2016,Tuesday,4,5,14,30,33,38,26,0,0,0,0,0,7,379610,28,94900,403,6590,747,3560,7288,1150,5866,1000,1,3,5,15,29,41,,,,,,,,,,0,0,0,1,2,18,22,25,40,0,0,0,21,26,28,32,35,37,0,0,0,4,13,14,22,26,40,7,11,13,19,23,40,5,13,21,23,29,39,3,6,9,17,24,41,,,,,,,,,,,,,,,,,,,,,,,,,1,4,16,18,31,40,,,,,,,,,,,,,7,
3841,2016-03-31 21:00:00,31,3,2016,Thursday,5,12,13,29,31,37,28,0,0,0,2,21114050,11,252970,33,84320,491,5670,763,3650,8096,1080,6394,1000,16,17,27,29,36,40,,,,,,,,,,0,0,0,2,8,12,15,27,39,0,0,0,4,16,22,27,38,41,0,0,0,12,14,16,18,34,37,1,11,19,23,25,39,5,6,7,13,14,17,10,11,24,25,27,30,,,,,,,,,,,,,,,,,,,,,,,,,2,3,9,17,21,30,,,,,,,,,,,,,2,
3842,2016-04-03 20:00:00,3,4,2016,Sunday,3,12,20,21,26,36,5,0,0,0,1,7225530,19,228170,66,65690,1052,4120,1779,2440,15113,1050,14413,1000,1,3,8,9,25,40,,,,,,,,,,0,0,0,4,21,28,29,33,34,0,0,0,4,17,26,33,35,39,0,0,0,14,17,24,30,38,40,11,23,30,36,37,40,8,22,24,28,36,38,17,22,31,33,37,40,,,,,,,,,,,,,,,,,,,,,,,,,4,8,13,20,22,39,,,,,,,,,,,,,2,
3843,2016-04-05 20:00:00,5,4,2016,Tuesday,1,3,11,15,21,35,16,0,0,0,1,5579750,43,77860,61,54880,1344,3020,1129,2970,15852,1050,8444,1000,11,18,23,27,35,39,,,,,,,,,,1,437937120,0,10,15,16,17,29,34,0,0,0,6,18,19,24,28,39,0,0,0,1,8,23,24,25,39,3,10,19,22,36,38,9,18,27,33,35,41,2,28,29,32,35,40,,,,,,,,,,,,,,,,,,,,,,,,,7,11,12,21,22,39,,,,,,,,,,,,,3,
3844,2016-04-07 20:00:00,7,4,2016,Thursday,1,2,3,24,32,36,18,0,0,0,0,0,23,129380,87,34200,654,4550,1254,2370,9496,1050,9008,1000,1,15,22,26,27,36,,,,,,,,,,1,50000000,0,16,24,30,32,38,41,0,0,0,3,7,14,30,32,39,0,0,0,8,12,29,30,34,40,5,11,12,23,28,29,3,4,17,29,34,38,7,10,16,18,24,36,,,,,,,,,,,,,,,,,,,,,,,,,12,20,28,37,38,41,,,,,,,,,,,,,3,
3845,2016-04-10 20:00:00,10,4,2016,Sunday,17,27,29,30,37,39,33,0,0,0,0,0,16,269090,34,126630,623,6910,903,4770,10098,1340,7961,1000,6,12,28,30,33,36,,,,,,,,,,0,0,0,13,17,27,34,36,39,0,0,0,4,17,19,30,31,41,0,0,0,2,4,6,33,39,41,23,27,31,35,36,40,8,12,17,19,29,34,13,16,21,24,32,39,,,,,,,,,,,,,,,,,,,,,,,,,10,15,17,28,37,39,,,,,,,,,,,,,2,
3846,2016-04-12 20:00:00,12,4,2016,Tuesday,7,9,22,29,31,40,39,0,0,0,1,17928530,10,347610,24,144840,771,5090,690,5040,11399,1050,5166,1000,1,5,17,28,30,31,,,,,,,,,,0,0,0,10,15,17,25,34,38,0,0,0,5,9,13,18,23,33,0,0,0,18,24,25,27,30,32,1,5,12,22,39,40,3,11,13,15,20,38,4,9,19,27,32,33,,,,,,,,,,,,,,,,,,,,,,,,,2,6,8,11,30,31,,,,,,,,,,,,,3,
3847,2016-04-14 20:00:00,14,4,2016,Thursday,1,2,3,7,11,34,14,0,0,0,0,0,37,94640,75,46690,1367,2560,1563,2240,16495,1050,11068,1000,5,8,24,25,36,39,,,,,,,,,,0,0,0,4,16,22,30,32,33,0,0,0,15,17,19,20,33,41,0,0,0,11,16,17,31,39,41,7,22,23,29,40,41,15,26,29,30,37,40,6,11,25,29,39,40,,,,,,,,,,,,,,,,,,,,,,,,,9,17,22,31,32,41,,,,,,,,,,,,,2,
3848,2016-04-17 20:00:00,17,4,2016,Sunday,11,12,15,16,18,37,38,0,0,0,1,13571260,16,290070,32,145030,686,6770,723,6420,12456,1170,6306,1000,13,24,25,30,39,41,,,,,,,,,,2,83878870,0,5,7,10,14,21,29,0,0,0,5,10,16,18,31,39,0,0,0,17,18,23,34,38,41,3,4,9,31,33,35,10,22,23,26,30,41,15,18,19,23,29,38,,,,,,,,,,,,,,,,,,,,,,,,,8,13,16,17,30,33,,,,,,,,,,,,,2,
3849,2016-04-19 20:00:00,19,4,2016,Tuesday,6,13,14,19,20,21,9,0,0,0,0,0,29,132530,103,37310,973,3950,2078,1850,13467,1050,14564,1000,5,6,8,22,23,30,,,,,,,,,,0,0,0,14,20,26,29,36,39,0,0,0,8,12,14,17,21,30,0,0,0,1,2,11,23,33,39,8,14,15,24,27,28,4,15,30,31,38,41,11,13,17,19,29,40,,,,,,,,,,,,,,,,,,,,,,,,,3,11,13,14,30,33,,,,,,,,,,,,,2,
3850,2016-04-21 20:00:00,21,4,2016,Thursday,6,14,18,24,27,41,20,0,0,0,1,13709290,25,175290,58,75550,958,4580,1134,3860,14191,1050,9277,1000,1,4,6,11,24,26,,,,,,,,,,1,86558230,0,7,12,15,18,29,32,0,0,0,14,15,19,21,24,25,1,199423908,0,4,5,7,10,11,19,1,4,8,12,20,36,2,10,11,15,19,38,15,19,20,33,35,37,,,,,,,,,,,,,,,,,,,,,,,,,6,16,19,25,31,41,,,,,,,,,,,,,2,
